ajdxyx,ajdxyxTranslateText,ajsj,ajsjTranslateText,jgaj,jgajTranslateText,sfta,sftaTranslateText,sgatqx,sgatqxTranslateText,sjgbhdq,sjgbhdqTranslateText,swqx,swqxTranslateText,ywlx,ywlxTranslateText,jbfy,jbfyTranslateText
['3'],社会反响强烈或关注案件,['1'],涉群体性纠纷,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['496'],蒙古,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['2'],涉家庭暴力,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['418'],老挝,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['10'],涉环境资源,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['704'],越南,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['116'],柬埔寨,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['26'],涉军,2,否,2,否,['3'],标的物在港澳台地区,['104'],缅甸,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['764'],泰国,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,2,否,2,否,['1'],当事人是港澳台地区自然人、企业或组织,['458'],马来西亚,['3'],标的物在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['21'],双语审判,1,是,2,否,['3'],标的物在港澳台地区,['702'],新加坡,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['2'],复杂疑难案件,['25'],涉未成年,2,否,2,否,['1'],当事人是港澳台地区自然人、企业或组织,['96'],文莱,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['26'],涉军,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['608'],菲律宾,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['360'],印度尼西亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['626'],东帝汶,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,2,否,1,是,['3'],标的物在港澳台地区,['524'],尼泊尔,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['64'],不丹,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,2,否,2,否,['3'],标的物在港澳台地区,['50'],孟加拉国,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['22'],授权审理,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['144'],斯里兰卡,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['462'],马尔代夫,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['586'],巴基斯坦,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['11'],涉医疗纠纷,1,是,1,是,['3'],标的物在港澳台地区,['4'],阿富汗,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['255'],未涉及,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['364'],伊朗,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['414'],科威特,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,2,否,2,否,['3'],标的物在港澳台地区,['682'],沙特阿拉伯,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,2,否,['3'],标的物在港澳台地区,['48'],巴林,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,2,否,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['634'],卡塔尔,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['26'],涉军,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['784'],阿联酋,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['9'],涉环境污染,1,是,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['512'],阿曼,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['887'],也门,['3'],标的物在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['6'],涉征地补偿,1,是,2,否,['3'],标的物在港澳台地区,['368'],伊拉克,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['2'],涉家庭暴力,1,是,1,是,['3'],标的物在港澳台地区,['760'],叙利亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['11'],涉医疗纠纷,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['422'],黎巴嫩,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['2'],复杂疑难案件,['24'],涉政协委员,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['400'],约旦,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['12'],涉合同欺诈,1,是,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['275'],巴勒斯坦,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['376'],以色列,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['1'],涉群体性纠纷,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['792'],土耳其,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,1,是,1,是,['255'],可以认定为涉港澳台案件的其他情形,['860'],乌兹别克斯坦,['3'],标的物在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['398'],哈萨克斯坦,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,1,是,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['417'],吉尔吉斯斯坦,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['8'],涉产品质量,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['762'],塔吉克斯坦,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['10'],涉环境资源,1,是,2,否,['3'],标的物在港澳台地区,['51'],亚美尼亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['255'],未涉及,1,是,1,是,['3'],标的物在港澳台地区,['795'],土库曼斯坦,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['1'],当事人是港澳台地区自然人、企业或组织,['31'],阿塞拜疆,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['21'],双语审判,2,否,2,否,['3'],标的物在港澳台地区,['268'],格鲁吉亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['18'],涉WTO规则,1,是,2,否,['255'],可以认定为涉港澳台案件的其他情形,['818'],埃及,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['5'],涉农民工工资,2,否,2,否,['3'],标的物在港澳台地区,['434'],利比亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['10'],涉环境资源,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['788'],突尼斯,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['7'],涉拆迁安置补偿,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['12'],阿尔及利亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['6'],涉征地补偿,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['504'],摩洛哥,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['6'],涉征地补偿,2,否,1,是,['255'],可以认定为涉港澳台案件的其他情形,['732'],西撒哈拉,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['478'],毛里塔尼亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['686'],塞内加尔,['3'],标的物在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,2,否,1,是,['3'],标的物在港澳台地区,['270'],冈比亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,1,是,2,否,['3'],标的物在港澳台地区,['466'],马里,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['854'],布基纳法索,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,2,否,['3'],标的物在港澳台地区,['132'],佛得角,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['21'],双语审判,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['624'],几内亚比绍,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['324'],几内亚,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['23'],涉人大代表,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['694'],塞拉利昂,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['430'],利比里亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['384'],科特迪瓦,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['255'],未涉及,2,否,1,是,['3'],标的物在港澳台地区,['288'],加纳,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,1,是,1,是,['255'],可以认定为涉港澳台案件的其他情形,['768'],多哥,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['204'],贝宁,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['562'],尼日尔,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['1'],涉群体性纠纷,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['566'],尼日利亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['120'],喀麦隆,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['226'],赤道几内亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['13'],涉服务欺诈,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['148'],乍得,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['9'],涉环境污染,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['140'],中非,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['6'],涉征地补偿,2,否,2,否,['3'],标的物在港澳台地区,['736'],苏丹,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['2'],复杂疑难案件,['10'],涉环境资源,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['231'],埃塞俄比亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['24'],涉政协委员,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['262'],吉布提,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['2'],复杂疑难案件,['21'],双语审判,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['706'],索马里,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['6'],涉征地补偿,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['404'],肯尼亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['1'],涉群体性纠纷,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['800'],乌干达,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,2,否,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['834'],坦桑尼亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['1'],涉群体性纠纷,2,否,1,是,['3'],标的物在港澳台地区,['646'],卢旺达,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,1,是,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['108'],布隆迪,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['5'],涉农民工工资,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['180'],刚果（金）,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,2,否,['3'],标的物在港澳台地区,['178'],刚果（布）,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['23'],涉人大代表,2,否,2,否,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['266'],加蓬,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
